inverse kinematics
nRows=8016
nColumns=8

# SIMM Motion File Header:
name inverse kinematics
datacolumns 8
datarows 8016
otherdata 1
range 0.000000 80.160000
endheader
time elv_angle shoulder_elv shoulder_rot elbow_flexion pro_sup deviation flexion
0.000000 -0.772448 17.173234 -8.222177 95.566585 -5.360000 6.450000 1.390000
0.010000 -0.662275 17.124606 -8.227665 95.569852 -5.360000 6.450000 1.390000
0.020000 -0.488932 17.066513 -8.209836 95.562808 -5.360000 6.450000 1.390000
0.030000 -0.270252 17.006807 -8.160120 95.543141 -5.360000 6.450000 1.390000
0.040000 -0.028210 16.948531 -8.077216 95.517311 -5.360000 6.450000 1.390000
0.050000 0.214785 16.889075 -7.969815 95.500796 -5.360000 6.450000 1.390000
0.060000 0.444624 16.818321 -7.862203 95.511407 -5.360000 6.450000 1.390000
0.070000 0.657295 16.721575 -7.789204 95.562305 -5.360000 6.450000 1.390000
0.080000 0.853247 16.585073 -7.784167 95.660310 -5.360000 6.450000 1.390000
0.090000 1.033424 16.399968 -7.870400 95.805734 -5.360000 6.450000 1.390000
0.100000 1.197265 16.163872 -8.057677 95.994341 -5.360000 6.450000 1.390000
0.110000 1.342325 15.880391 -8.343430 96.219587 -5.360000 6.450000 1.390000
0.120000 1.466132 15.557555 -8.717283 96.472973 -5.360000 6.450000 1.390000
0.130000 1.569828 15.208295 -9.162896 96.743175 -5.360000 6.450000 1.390000
0.140000 1.659376 14.851882 -9.656731 97.015550 -5.360000 6.450000 1.390000
0.150000 1.742383 14.510603 -10.171614 97.274186 -5.360000 6.450000 1.390000
0.160000 1.823879 14.204649 -10.682044 97.504738 -5.360000 6.450000 1.390000
0.170000 1.902325 13.951505 -11.163246 97.695809 -5.360000 6.450000 1.390000
0.180000 1.968535 13.764121 -11.591857 97.840510 -5.360000 6.450000 1.390000
0.190000 2.013251 13.646080 -11.954410 97.937246 -5.360000 6.450000 1.390000
0.200000 2.027913 13.595628 -12.243714 97.988115 -5.360000 6.450000 1.390000
0.210000 2.005723 13.607479 -12.456922 97.998416 -5.360000 6.450000 1.390000
0.220000 1.942967 13.671427 -12.596850 97.976090 -5.360000 6.450000 1.390000
0.230000 1.842955 13.774069 -12.670207 97.928550 -5.360000 6.450000 1.390000
0.240000 1.711064 13.903145 -12.684105 97.862002 -5.360000 6.450000 1.390000
0.250000 1.552693 14.047963 -12.645238 97.781940 -5.360000 6.450000 1.390000
0.260000 1.372701 14.199504 -12.559237 97.693465 -5.360000 6.450000 1.390000
0.270000 1.175530 14.350366 -12.430983 97.601255 -5.360000 6.450000 1.390000
0.280000 0.965618 14.494697 -12.264867 97.509089 -5.360000 6.450000 1.390000
0.290000 0.747648 14.628035 -12.064902 97.419704 -5.360000 6.450000 1.390000
0.300000 0.526676 14.747132 -11.834902 97.334913 -5.360000 6.450000 1.390000
0.310000 0.309153 14.849415 -11.580025 97.255749 -5.360000 6.450000 1.390000
0.320000 0.104795 14.932676 -11.308519 97.182431 -5.360000 6.450000 1.390000
